2019.4.16,14:30:25,50128,A2-25-66-01-0B-00-12-E0,3235,1
2019.4.16,14:30:26,50128,A2-25-66-01-0B-00-12-E0,3619,0
2019.4.16,14:30:28,50125,A2-25-66-01-0B-00-12-E0,5900,1
2019.4.16,14:30:30,50124,A2-25-66-01-0B-00-12-E0,7793,1
2019.4.16,14:30:32,50130,A2-25-66-01-0B-00-12-E0,10258,1
2019.4.16,14:30:38,50144,A2-25-66-01-0B-00-12-E0,15922,1
2019.4.16,14:30:38,50144,A2-25-66-01-0B-00-12-E0,16340,0
2019.4.16,14:30:40,50140,A2-25-66-01-0B-00-12-E0,17744,1
2019.4.16,14:30:47,50130,A2-25-66-01-0B-00-12-E0,24985,0
2019.4.16,14:30:48,50130,A2-25-66-01-0B-00-12-E0,25406,0
2019.4.16,14:30:54,50132,A2-25-66-01-0B-00-12-E0,31661,1
2019.4.16,14:30:54,50132,A2-25-66-01-0B-00-12-E0,32036,0
2019.4.16,14:30:56,50120,A2-25-66-01-0B-00-12-E0,33493,1
2019.4.16,14:30:56,50120,A2-25-66-01-0B-00-12-E0,33905,0
2019.4.16,14:31:02,50145,A2-25-66-01-0B-00-12-E0,39673,1
2019.4.16,14:31:02,50145,A2-25-66-01-0B-00-12-E0,40086,0
2019.4.16,14:31:03,50145,A2-25-66-01-0B-00-12-E0,40469,0
2019.4.16,14:31:07,50136,A2-25-66-01-0B-00-12-E0,44652,1
2019.4.16,14:31:07,50136,A2-25-66-01-0B-00-12-E0,45013,0
2019.4.16,14:31:16,50134,A2-25-66-01-0B-00-12-E0,54156,1
2019.4.16,14:31:34,50149,A2-25-66-01-0B-00-12-E0,71497,1
2019.4.16,14:31:35,50150,A2-25-66-01-0B-00-12-E0,72946,1
2019.4.16,14:31:35,50150,A2-25-66-01-0B-00-12-E0,73329,0
2019.4.16,14:31:36,50150,A2-25-66-01-0B-00-12-E0,73748,0
2019.4.16,14:31:36,50150,A2-25-66-01-0B-00-12-E0,74162,0
2019.4.16,14:31:37,50150,A2-25-66-01-0B-00-12-E0,74581,0
2019.4.16,14:31:37,50150,A2-25-66-01-0B-00-12-E0,74995,0
2019.4.16,14:31:38,50150,A2-25-66-01-0B-00-12-E0,75797,0
2019.4.16,14:31:53,50151,A2-25-66-01-0B-00-12-E0,91214,1
2019.4.16,14:31:54,50151,A2-25-66-01-0B-00-12-E0,91609,0
2019.4.16,14:34:30,50134,CC-94-FA-04-08-00-12-E0,247735,1
2019.4.16,14:34:31,50134,CC-94-FA-04-08-00-12-E0,248420,0
2019.4.16,14:34:31,50134,CC-94-FA-04-08-00-12-E0,249109,0
2019.4.16,14:34:34,50134,CC-94-FA-04-08-00-12-E0,251652,0
2019.4.16,14:34:34,50134,CC-94-FA-04-08-00-12-E0,252336,0
2019.4.16,14:34:37,50134,CC-94-FA-04-08-00-12-E0,254599,0
2019.4.16,14:34:38,50134,CC-94-FA-04-08-00-12-E0,255903,0
2019.4.16,14:34:38,50134,CC-94-FA-04-08-00-12-E0,256281,0
2019.4.16,14:34:39,50134,CC-94-FA-04-08-00-12-E0,256948,0
2019.4.16,14:34:42,50134,CC-94-FA-04-08-00-12-E0,259816,0
2019.4.16,14:34:43,50134,CC-94-FA-04-08-00-12-E0,260481,0
2019.4.16,14:34:43,50134,CC-94-FA-04-08-00-12-E0,260849,0
2019.4.16,14:34:44,50134,CC-94-FA-04-08-00-12-E0,261547,0
2019.4.16,14:34:49,50134,CC-94-FA-04-08-00-12-E0,266613,0
2019.4.16,14:34:49,50134,CC-94-FA-04-08-00-12-E0,266980,0
2019.4.16,14:34:49,50134,CC-94-FA-04-08-00-12-E0,267348,0
2019.4.16,14:34:50,50134,CC-94-FA-04-08-00-12-E0,267712,0
2019.4.16,14:34:55,50134,CC-94-FA-04-08-00-12-E0,272445,0
2019.4.16,14:34:55,50134,CC-94-FA-04-08-00-12-E0,273144,0
2019.4.16,14:34:56,50134,CC-94-FA-04-08-00-12-E0,273510,0
2019.4.16,14:34:57,50134,CC-94-FA-04-08-00-12-E0,274810,0
2019.4.16,14:34:59,50134,CC-94-FA-04-08-00-12-E0,276415,0
